,date,water_volume_variation,water_flow,water_volume,water_height,water_precipitation
10181,2017-11-16,-56984.0,0.0,0.0,0.0,0.0
10210,2017-12-15,189968.0,0.0,0.0,0.0,1.0
7233,2009-10-21,0.0,0.0,2.0,2.0,1.0
2116,1995-10-18,-52765.0,0.0,0.0,0.0,0.0
176,1990-06-26,-31358.0,1.0,2.0,2.0,0.0
5532,2005-02-23,125794.0,0.0,2.0,2.0,0.0
6482,2007-10-01,-79735.0,1.0,1.0,1.0,0.0
6422,2007-08-02,-34146.0,0.0,2.0,2.0,0.0
1684,1994-08-12,0.0,1.0,1.0,1.0,0.0
5091,2003-12-10,-256053.0,2.0,1.0,1.0,0.0
8567,2013-06-16,0.0,1.0,2.0,2.0,1.0
2222,1996-02-01,65933.0,2.0,0.0,0.0,0.0
7803,2011-05-14,33194.0,1.0,2.0,2.0,0.0
6232,2007-01-24,25842.0,2.0,0.0,0.0,1.0
6017,2006-06-23,-34697.0,0.0,2.0,2.0,0.0
3777,2000-05-05,-188475.0,2.0,2.0,2.0,1.0
3129,1998-07-27,-93757.0,1.0,2.0,2.0,0.0
7411,2010-04-17,94398.0,2.0,2.0,2.0,1.0
10169,2017-11-04,-60340.0,0.0,0.0,0.0,1.0
4073,2001-02-25,-79129.0,2.0,0.0,0.0,1.0
4212,2001-07-14,30861.0,1.0,2.0,2.0,0.0
6151,2006-11-04,-426158.0,2.0,0.0,0.0,0.0
9964,2017-04-13,89520.0,1.0,1.0,1.0,0.0
5565,2005-03-28,250027.0,0.0,2.0,2.0,1.0
201,1990-07-21,-89834.0,1.0,1.0,1.0,0.0
379,1991-01-15,-332487.0,2.0,0.0,0.0,1.0
8511,2013-04-21,-101335.0,2.0,2.0,2.0,0.0
2763,1997-07-26,-93435.0,1.0,2.0,2.0,0.0
8214,2012-06-28,0.0,0.0,2.0,2.0,0.0
5203,2004-03-31,61829.0,1.0,2.0,2.0,1.0
3606,1999-11-16,-494263.0,2.0,0.0,0.0,1.0
9430,2015-10-27,-80239.0,1.0,1.0,1.0,1.0
6198,2006-12-21,-322780.0,2.0,1.0,1.0,0.0
9507,2016-01-12,-103769.0,2.0,0.0,0.0,1.0
10216,2017-12-21,67052.0,0.0,0.0,0.0,0.0
8110,2012-03-16,0.0,0.0,1.0,1.0,1.0
8776,2014-01-11,-133732.0,2.0,1.0,1.0,0.0
1535,1994-03-16,50060.0,2.0,0.0,0.0,0.0
6890,2008-11-12,-58179.0,2.0,1.0,1.0,1.0
7728,2011-02-28,-26645.0,2.0,1.0,1.0,0.0
4510,2002-05-08,-62184.0,1.0,2.0,2.0,0.0
10127,2017-09-23,-75240.0,0.0,0.0,0.0,0.0
8835,2014-03-11,-216811.0,2.0,1.0,1.0,0.0
8513,2013-04-23,-167248.0,2.0,2.0,2.0,0.0
2780,1997-08-12,-117612.0,1.0,1.0,1.0,0.0
4963,2003-08-04,-60627.0,1.0,1.0,1.0,0.0
9850,2016-12-20,0.0,1.0,0.0,0.0,1.0
4007,2000-12-21,-412376.0,2.0,1.0,1.0,0.0
6847,2008-09-30,-126221.0,0.0,2.0,2.0,0.0
6405,2007-07-16,0.0,0.0,2.0,2.0,1.0
4906,2003-06-08,0.0,1.0,2.0,2.0,0.0
2449,1996-09-15,-129256.0,0.0,0.0,0.0,0.0
4231,2001-08-02,-89625.0,1.0,1.0,1.0,1.0
3851,2000-07-18,-118589.0,1.0,1.0,1.0,0.0
8324,2012-10-16,-25874.0,0.0,0.0,0.0,1.0
331,1990-11-28,77469.0,2.0,0.0,0.0,0.0
9924,2017-03-04,-53729.0,2.0,1.0,1.0,1.0
505,1991-05-21,153069.0,0.0,2.0,2.0,0.0
630,1991-09-23,-67052.0,0.0,0.0,0.0,0.0
4240,2001-08-11,-116221.0,1.0,1.0,1.0,0.0
5184,2004-03-12,-30790.0,2.0,2.0,2.0,1.0
2155,1995-11-26,64815.0,2.0,0.0,0.0,1.0
6989,2009-02-19,-33048.0,2.0,2.0,2.0,0.0
4663,2002-10-08,-114713.0,0.0,0.0,0.0,1.0
579,1991-08-03,-55221.0,0.0,1.0,1.0,0.0
7480,2010-06-25,-73082.0,2.0,2.0,2.0,0.0
4045,2001-01-28,951413.0,2.0,1.0,1.0,0.0
1914,1995-03-30,134070.0,2.0,1.0,1.0,0.0
8936,2014-06-20,-35513.0,0.0,2.0,2.0,0.0
2300,1996-04-19,82168.0,1.0,1.0,1.0,0.0
8114,2012-03-20,26780.0,0.0,1.0,1.0,0.0
7818,2011-05-29,0.0,0.0,2.0,2.0,1.0
5553,2005-03-16,67447.0,0.0,2.0,2.0,0.0
7776,2011-04-17,0.0,1.0,1.0,1.0,0.0
8183,2012-05-28,71509.0,1.0,2.0,2.0,0.0
5097,2003-12-16,-25842.0,2.0,0.0,0.0,0.0
9884,2017-01-23,0.0,0.0,0.0,0.0,0.0
6631,2008-02-27,94077.0,0.0,2.0,2.0,1.0
6686,2008-04-22,319278.0,2.0,2.0,2.0,1.0
4049,2001-02-01,365542.0,2.0,2.0,2.0,0.0
6818,2008-09-01,0.0,0.0,2.0,2.0,0.0
8641,2013-08-29,-93757.0,0.0,2.0,2.0,0.0
6929,2008-12-21,110717.0,2.0,1.0,1.0,0.0
6664,2008-03-31,-34365.0,2.0,2.0,2.0,0.0
585,1991-08-09,-81162.0,0.0,1.0,1.0,0.0
2799,1997-08-31,-134407.0,1.0,1.0,1.0,0.0
3542,1999-09-13,-86419.0,0.0,0.0,0.0,1.0
7364,2010-03-01,-30790.0,2.0,2.0,2.0,0.0
8797,2014-02-01,0.0,2.0,1.0,1.0,1.0
5511,2005-02-02,117891.0,1.0,1.0,1.0,0.0
713,1991-12-15,51137.0,1.0,0.0,0.0,0.0
3404,1999-04-28,-221262.0,2.0,2.0,2.0,0.0
2974,1998-02-22,311902.0,1.0,0.0,0.0,1.0
4751,2003-01-04,205699.0,2.0,1.0,1.0,1.0
8362,2012-11-23,53931.0,0.0,1.0,1.0,0.0
1976,1995-05-31,-63468.0,1.0,2.0,2.0,0.0
3737,2000-03-26,89729.0,0.0,1.0,1.0,0.0
6299,2007-04-01,-63827.0,2.0,2.0,2.0,1.0
7027,2009-03-29,34181.0,2.0,2.0,2.0,0.0
5093,2003-12-12,-494546.0,2.0,1.0,1.0,0.0
5153,2004-02-10,145884.0,2.0,1.0,1.0,0.0
8777,2014-01-12,-343769.0,2.0,0.0,0.0,1.0
6661,2008-03-28,172932.0,2.0,2.0,2.0,0.0
1286,1993-07-10,-62470.0,1.0,2.0,2.0,0.0
2007,1995-07-01,-58319.0,1.0,1.0,1.0,1.0
3292,1999-01-06,158213.0,1.0,0.0,0.0,0.0
9270,2015-05-20,68913.0,0.0,2.0,2.0,0.0
4560,2002-06-27,-65339.0,1.0,2.0,2.0,1.0
181,1990-07-01,-31253.0,1.0,2.0,2.0,1.0
4690,2002-11-04,93128.0,1.0,0.0,0.0,1.0
9234,2015-04-14,84011.0,0.0,1.0,1.0,0.0
8120,2012-03-26,26847.0,0.0,1.0,1.0,0.0
5536,2005-02-27,159655.0,0.0,2.0,2.0,0.0
8368,2012-11-29,82781.0,2.0,1.0,1.0,1.0
4770,2003-01-23,739407.0,2.0,2.0,2.0,0.0
7371,2010-03-08,-104637.0,2.0,0.0,0.0,0.0
2189,1995-12-30,-24554.0,2.0,0.0,0.0,1.0
9378,2015-09-05,-60347.0,0.0,1.0,1.0,0.0
9202,2015-03-13,-105438.0,2.0,0.0,0.0,0.0
6988,2009-02-18,-66209.0,2.0,2.0,2.0,0.0
1892,1995-03-08,440787.0,2.0,1.0,1.0,1.0
8136,2012-04-11,53931.0,0.0,1.0,1.0,1.0
7983,2011-11-10,74942.0,0.0,0.0,0.0,1.0
8397,2012-12-28,0.0,2.0,0.0,0.0,1.0
7418,2010-04-24,226284.0,1.0,2.0,2.0,0.0
9361,2015-08-19,-29769.0,0.0,1.0,1.0,0.0
6835,2008-09-18,-98061.0,0.0,2.0,2.0,0.0
4929,2003-07-01,31323.0,1.0,2.0,2.0,0.0
2445,1996-09-11,-111753.0,0.0,0.0,0.0,0.0
3586,1999-10-27,-402286.0,2.0,0.0,0.0,0.0
8028,2011-12-25,-109899.0,2.0,1.0,1.0,0.0
749,1992-01-20,19367.0,1.0,0.0,0.0,0.0
1523,1994-03-04,138202.0,2.0,0.0,0.0,1.0
6541,2007-11-29,-69268.0,0.0,0.0,0.0,0.0
6479,2007-09-28,-135162.0,1.0,1.0,1.0,0.0
4681,2002-10-26,89402.0,1.0,0.0,0.0,1.0
990,1992-09-17,-94783.0,0.0,0.0,0.0,1.0
4619,2002-08-25,-107053.0,0.0,1.0,1.0,0.0
1404,1993-11-05,0.0,2.0,0.0,0.0,1.0
7628,2010-11-20,-387031.0,2.0,1.0,1.0,1.0
127,1990-05-08,30577.0,0.0,1.0,1.0,0.0
7953,2011-10-11,-93459.0,0.0,0.0,0.0,0.0
4075,2001-02-27,52519.0,2.0,0.0,0.0,1.0
4456,2002-03-15,0.0,2.0,1.0,1.0,1.0
7347,2010-02-12,-28210.0,2.0,1.0,1.0,0.0
7350,2010-02-15,0.0,2.0,1.0,1.0,0.0
8123,2012-03-29,0.0,0.0,1.0,1.0,0.0
8781,2014-01-16,104100.0,2.0,0.0,0.0,1.0
7317,2010-01-13,421761.0,2.0,1.0,1.0,1.0
936,1992-07-25,-184850.0,1.0,2.0,2.0,0.0
5866,2006-01-23,28831.0,2.0,1.0,1.0,0.0
3493,1999-07-26,-87010.0,1.0,1.0,1.0,0.0
9518,2016-01-23,-26040.0,2.0,0.0,0.0,0.0
8980,2014-08-03,-35104.0,0.0,2.0,2.0,1.0
7055,2009-04-26,0.0,1.0,2.0,2.0,0.0
5495,2005-01-17,28520.0,2.0,1.0,1.0,0.0
8235,2012-07-19,-69579.0,0.0,2.0,2.0,0.0
8424,2013-01-24,-162405.0,2.0,1.0,1.0,1.0
710,1991-12-12,33549.0,1.0,0.0,0.0,0.0
4909,2003-06-11,-32470.0,1.0,2.0,2.0,0.0
7034,2009-04-05,-67594.0,2.0,2.0,2.0,0.0
9483,2015-12-19,53122.0,1.0,1.0,1.0,1.0
9641,2016-05-25,0.0,2.0,2.0,2.0,0.0
3620,1999-11-30,0.0,1.0,0.0,0.0,0.0
9372,2015-08-30,0.0,0.0,1.0,1.0,0.0
3663,2000-01-12,169854.0,1.0,0.0,0.0,1.0
1132,1993-02-06,153156.0,1.0,0.0,0.0,0.0
4216,2001-07-18,-30898.0,1.0,2.0,2.0,1.0
1891,1995-03-07,801932.0,2.0,1.0,1.0,0.0
7675,2011-01-06,404745.0,2.0,1.0,1.0,0.0
733,1992-01-04,73605.0,0.0,0.0,0.0,0.0
1715,1994-09-12,0.0,0.0,0.0,0.0,1.0
9719,2016-08-11,-125221.0,1.0,2.0,2.0,0.0
3731,2000-03-20,59224.0,0.0,1.0,1.0,0.0
8422,2013-01-22,-325216.0,2.0,1.0,1.0,1.0
3978,2000-11-22,533387.0,2.0,0.0,0.0,1.0
1056,1992-11-22,-62726.0,2.0,0.0,0.0,0.0
7703,2011-02-03,-26645.0,2.0,1.0,1.0,0.0
2351,1996-06-09,0.0,1.0,2.0,2.0,0.0
4418,2002-02-05,365227.0,1.0,0.0,0.0,1.0
7532,2010-08-16,-101105.0,0.0,2.0,2.0,0.0
5356,2004-08-31,-86178.0,0.0,1.0,1.0,0.0
683,1991-11-15,35176.0,2.0,0.0,0.0,1.0
2192,1996-01-02,499248.0,2.0,1.0,1.0,1.0
3512,1999-08-14,-133059.0,1.0,1.0,1.0,0.0
9948,2017-03-28,-81356.0,2.0,1.0,1.0,0.0
2601,1997-02-14,125729.0,2.0,0.0,0.0,1.0
10188,2017-11-23,-55204.0,0.0,0.0,0.0,1.0
9553,2016-02-27,0.0,2.0,0.0,0.0,1.0
2692,1997-05-16,-26410.0,0.0,1.0,1.0,0.0
5134,2004-01-22,-78125.0,2.0,0.0,0.0,1.0
8989,2014-08-12,-34697.0,0.0,2.0,2.0,0.0
8192,2012-06-06,-35402.0,1.0,2.0,2.0,1.0
1855,1995-01-30,53661.0,2.0,1.0,1.0,1.0
6660,2008-03-27,206301.0,1.0,2.0,2.0,1.0
9083,2014-11-14,163512.0,2.0,1.0,1.0,1.0
7683,2011-01-14,-26679.0,2.0,1.0,1.0,0.0
1799,1994-12-05,209015.0,1.0,0.0,0.0,1.0
7768,2011-04-09,83705.0,1.0,1.0,1.0,0.0
779,1992-02-19,46067.0,0.0,0.0,0.0,0.0
6700,2008-05-06,35215.0,2.0,2.0,2.0,0.0
8994,2014-08-17,-68767.0,0.0,2.0,2.0,0.0
8287,2012-09-09,-117891.0,0.0,1.0,1.0,0.0
928,1992-07-17,-62826.0,1.0,2.0,2.0,0.0
9411,2015-10-08,-118589.0,2.0,1.0,1.0,0.0
3580,1999-10-21,38361.0,1.0,0.0,0.0,1.0
2324,1996-05-13,30968.0,1.0,2.0,2.0,0.0
8356,2012-11-17,26040.0,0.0,0.0,0.0,1.0
3281,1998-12-26,0.0,0.0,0.0,0.0,0.0
6582,2008-01-09,86856.0,0.0,0.0,0.0,1.0
944,1992-08-02,-90476.0,1.0,1.0,1.0,0.0
2827,1997-09-28,-131866.0,1.0,0.0,0.0,0.0
4130,2001-04-23,161998.0,2.0,1.0,1.0,1.0
8071,2012-02-06,26343.0,0.0,1.0,1.0,1.0
6282,2007-03-15,204726.0,2.0,1.0,1.0,0.0
3188,1998-09-24,-89402.0,0.0,0.0,0.0,0.0
8050,2012-01-16,-26444.0,1.0,1.0,1.0,0.0
2791,1997-08-23,-111947.0,1.0,1.0,1.0,0.0
1932,1995-04-17,57764.0,0.0,1.0,1.0,0.0
8798,2014-02-02,187461.0,2.0,1.0,1.0,1.0
3421,1999-05-15,219264.0,2.0,2.0,2.0,1.0
7807,2011-05-18,-33269.0,1.0,2.0,2.0,0.0
8321,2012-10-13,-52115.0,0.0,0.0,0.0,0.0
6122,2006-10-06,-233175.0,2.0,0.0,0.0,1.0
7463,2010-06-08,0.0,1.0,2.0,2.0,1.0
1262,1993-06-16,0.0,2.0,2.0,2.0,0.0
5669,2005-07-10,-69725.0,0.0,2.0,2.0,0.0
4719,2002-12-03,207409.0,2.0,1.0,1.0,1.0
6990,2009-02-20,-65991.0,2.0,2.0,2.0,0.0
3394,1999-04-18,-32218.0,2.0,2.0,2.0,0.0
1226,1993-05-11,226284.0,1.0,2.0,2.0,0.0
5956,2006-04-23,-229571.0,2.0,2.0,2.0,0.0
2949,1998-01-28,-122445.0,2.0,0.0,0.0,0.0
5613,2005-05-15,35735.0,2.0,2.0,2.0,1.0
7651,2010-12-13,-636233.0,2.0,1.0,1.0,0.0
7701,2011-02-01,105842.0,2.0,1.0,1.0,0.0
403,1991-02-08,608808.0,2.0,0.0,0.0,1.0
3832,2000-06-29,-62681.0,1.0,2.0,2.0,0.0
1657,1994-07-16,-122808.0,1.0,1.0,1.0,0.0
2020,1995-07-14,-84319.0,1.0,1.0,1.0,0.0
7111,2009-06-21,36260.0,1.0,2.0,2.0,0.0
3127,1998-07-25,-125935.0,1.0,2.0,2.0,0.0
6260,2007-02-21,-354402.0,2.0,2.0,2.0,1.0
1431,1993-12-02,236507.0,2.0,0.0,0.0,0.0
7731,2011-03-03,79836.0,2.0,1.0,1.0,0.0
2787,1997-08-19,-200117.0,1.0,1.0,1.0,0.0
6000,2006-06-06,-35030.0,0.0,2.0,2.0,0.0
5974,2006-05-11,68106.0,1.0,2.0,2.0,0.0
9143,2015-01-13,-26242.0,2.0,0.0,0.0,1.0
2374,1996-07-02,-95792.0,1.0,2.0,2.0,0.0
4124,2001-04-17,-78627.0,2.0,0.0,0.0,0.0
1629,1994-06-18,127222.0,1.0,2.0,2.0,1.0
5903,2006-03-01,-428701.0,2.0,2.0,2.0,0.0
2568,1997-01-12,64814.0,2.0,0.0,0.0,0.0
6492,2007-10-11,-125069.0,1.0,0.0,0.0,0.0
7345,2010-02-10,140704.0,2.0,1.0,1.0,0.0
5888,2006-02-14,155726.0,0.0,2.0,2.0,0.0
5350,2004-08-25,-58806.0,0.0,1.0,1.0,0.0
3556,1999-09-27,44702.0,1.0,0.0,0.0,0.0
8344,2012-11-05,50523.0,0.0,0.0,0.0,1.0
5668,2005-07-09,-69875.0,0.0,2.0,2.0,0.0
5525,2005-02-16,61829.0,0.0,2.0,2.0,0.0
9005,2014-08-28,-33706.0,0.0,2.0,2.0,0.0
6838,2008-09-21,-97195.0,0.0,2.0,2.0,0.0
9556,2016-03-01,-186282.0,2.0,1.0,1.0,0.0
1468,1994-01-08,1163598.0,2.0,0.0,0.0,1.0
7684,2011-01-15,-79836.0,2.0,1.0,1.0,0.0
6549,2007-12-07,-49511.0,0.0,0.0,0.0,1.0
3736,2000-03-25,89414.0,0.0,1.0,1.0,1.0
3551,1999-09-22,234668.0,1.0,0.0,0.0,1.0
8990,2014-08-13,-34660.0,0.0,2.0,2.0,0.0
7746,2011-03-18,-107323.0,2.0,1.0,1.0,0.0
3912,2000-09-17,-164261.0,1.0,0.0,0.0,0.0
2456,1996-09-22,122916.0,0.0,0.0,0.0,1.0
7374,2010-03-11,0.0,2.0,0.0,0.0,0.0
5281,2004-06-17,-69357.0,0.0,2.0,2.0,0.0
8752,2013-12-18,0.0,1.0,0.0,0.0,1.0
2891,1997-12-01,0.0,2.0,0.0,0.0,1.0
5397,2004-10-11,96107.0,0.0,0.0,0.0,1.0
6963,2009-01-24,283193.0,2.0,2.0,2.0,1.0
8253,2012-08-06,-99367.0,0.0,2.0,2.0,0.0
2407,1996-08-04,-141908.0,0.0,1.0,1.0,0.0
8377,2012-12-08,-26982.0,2.0,1.0,1.0,0.0
3293,1999-01-07,90810.0,1.0,0.0,0.0,1.0
1191,1993-04-06,28795.0,0.0,1.0,1.0,0.0
893,1992-06-12,0.0,1.0,2.0,2.0,0.0
5967,2006-05-04,66134.0,1.0,2.0,2.0,0.0
10196,2017-12-01,-18130.0,0.0,0.0,0.0,1.0
1986,1995-06-10,-61688.0,0.0,2.0,2.0,0.0
7060,2009-05-01,68693.0,1.0,2.0,2.0,0.0
9848,2016-12-18,51917.0,1.0,0.0,0.0,0.0
1879,1995-02-23,-142424.0,2.0,1.0,1.0,0.0
815,1992-03-26,259918.0,0.0,0.0,0.0,1.0
1395,1993-10-27,-942435.0,2.0,0.0,0.0,0.0
1502,1994-02-11,136215.0,2.0,0.0,0.0,0.0
4786,2003-02-08,-183932.0,2.0,0.0,0.0,0.0
7082,2009-05-23,-32141.0,1.0,2.0,2.0,1.0
3729,2000-03-18,59015.0,0.0,1.0,1.0,0.0
8838,2014-03-14,-80239.0,2.0,1.0,1.0,0.0
1043,1992-11-09,-175881.0,2.0,0.0,0.0,0.0
1514,1994-02-23,0.0,2.0,0.0,0.0,1.0
8409,2013-01-09,-51317.0,2.0,0.0,0.0,1.0
2108,1995-10-10,-18130.0,0.0,0.0,0.0,1.0
10043,2017-07-01,33269.0,0.0,2.0,2.0,0.0
7148,2009-07-28,-35735.0,1.0,2.0,2.0,0.0
8709,2013-11-05,188880.0,2.0,1.0,1.0,1.0
3084,1998-06-12,32038.0,1.0,2.0,2.0,0.0
8841,2014-03-17,-105171.0,2.0,0.0,0.0,0.0
3874,2000-08-10,-157556.0,1.0,0.0,0.0,0.0
3494,1999-07-27,-115529.0,1.0,1.0,1.0,0.0
9152,2015-01-22,161187.0,2.0,1.0,1.0,1.0
9652,2016-06-05,35549.0,1.0,2.0,2.0,1.0
931,1992-07-20,-62398.0,1.0,2.0,2.0,1.0
2628,1997-03-13,55837.0,1.0,1.0,1.0,0.0
8112,2012-03-18,79937.0,0.0,1.0,1.0,1.0
6605,2008-02-01,56315.0,0.0,1.0,1.0,1.0
5694,2005-08-04,-97195.0,1.0,2.0,2.0,0.0
6319,2007-04-21,198622.0,1.0,2.0,2.0,0.0
7579,2010-10-02,-86698.0,0.0,1.0,1.0,1.0
9528,2016-02-02,-53594.0,2.0,1.0,1.0,1.0
2311,1996-04-30,116637.0,1.0,1.0,1.0,0.0
10081,2017-08-08,-120702.0,0.0,1.0,1.0,0.0
1250,1993-06-04,195582.0,1.0,2.0,2.0,1.0
6509,2007-10-28,-131120.0,0.0,0.0,0.0,1.0
7723,2011-02-23,-53391.0,2.0,1.0,1.0,0.0
4585,2002-07-22,-121678.0,1.0,1.0,1.0,1.0
2341,1996-05-30,0.0,2.0,2.0,2.0,0.0
4986,2003-08-27,-109899.0,1.0,1.0,1.0,0.0
7105,2009-06-15,0.0,1.0,2.0,2.0,0.0
8340,2012-11-01,-75240.0,0.0,0.0,0.0,1.0
27,1990-01-28,314316.0,1.0,0.0,0.0,0.0
9331,2015-07-20,-96871.0,0.0,2.0,2.0,0.0
3014,1998-04-03,174332.0,1.0,1.0,1.0,1.0
5654,2005-06-25,-71686.0,0.0,2.0,2.0,0.0
4515,2002-05-13,31144.0,0.0,2.0,2.0,1.0
6524,2007-11-12,-94972.0,0.0,0.0,0.0,0.0
8315,2012-10-07,-79532.0,0.0,1.0,1.0,0.0
5063,2003-11-12,20114.0,1.0,0.0,0.0,0.0
2899,1997-12-09,-240263.0,2.0,0.0,0.0,1.0
453,1991-03-30,-23696.0,2.0,0.0,0.0,0.0
1332,1993-08-25,107593.0,1.0,1.0,1.0,1.0
6314,2007-04-16,64833.0,2.0,2.0,2.0,0.0
9667,2016-06-20,-35735.0,1.0,2.0,2.0,0.0
1436,1993-12-07,0.0,2.0,0.0,0.0,0.0
2917,1997-12-27,-23034.0,2.0,0.0,0.0,1.0
3688,2000-02-06,24554.0,1.0,0.0,0.0,0.0
4995,2003-09-05,-106110.0,1.0,1.0,1.0,0.0
7934,2011-09-22,-77226.0,0.0,0.0,0.0,0.0
9280,2015-05-30,0.0,0.0,2.0,2.0,0.0
4376,2001-12-25,-35447.0,0.0,0.0,0.0,0.0
6478,2007-09-27,-136190.0,1.0,1.0,1.0,0.0
4393,2002-01-11,-17859.0,0.0,0.0,0.0,0.0
771,1992-02-11,65933.0,0.0,0.0,0.0,0.0
6271,2007-03-04,146928.0,2.0,1.0,1.0,1.0
9059,2014-10-21,-225714.0,2.0,1.0,1.0,0.0
1088,1992-12-24,16775.0,2.0,0.0,0.0,0.0
2802,1997-09-03,-105842.0,1.0,1.0,1.0,0.0
9362,2015-08-20,-89099.0,0.0,1.0,1.0,0.0
923,1992-07-12,-63396.0,1.0,2.0,2.0,0.0
9216,2015-03-27,156552.0,2.0,0.0,0.0,0.0
1277,1993-07-01,-130387.0,2.0,2.0,2.0,1.0
6506,2007-10-25,-134103.0,0.0,0.0,0.0,0.0
1441,1993-12-12,18131.0,2.0,0.0,0.0,0.0
6695,2008-05-01,-71211.0,2.0,2.0,2.0,0.0
3987,2000-12-01,2362897.0,2.0,1.0,1.0,1.0
7884,2011-08-03,-59854.0,0.0,1.0,1.0,0.0
7827,2011-06-07,33413.0,0.0,2.0,2.0,0.0
7574,2010-09-27,-88261.0,0.0,1.0,1.0,0.0
5466,2004-12-19,102901.0,0.0,0.0,0.0,1.0
